,SVXY,SVXY,SVXY,SVXY,SVXY,SVXY,SPY,SPY,SPY,SPY,SPY,SPY
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2009-01-09,,,,,,,91.16000366210938,91.31999969482422,85.36000061035156,89.08999633789062,69.30675506591797,330953600
2009-01-12,,,,,,,88.83999633789062,88.91000366210938,86.41000366210938,86.94999694824219,67.64192199707031,277858500
2009-01-13,,,,,,,86.7300033569336,87.87999725341797,86.19999694824219,87.11000061035156,67.76641845703125,356432300
2009-01-14,,,,,,,85.54000091552734,85.75,83.16000366210938,84.37000274658203,65.63487243652344,435491600
2009-01-15,,,,,,,84.12000274658203,85.25,81.72000122070312,84.4000015258789,65.65821838378906,532647300
2009-01-16,,,,,,,85.86000061035156,85.98999786376953,83.05000305175781,85.05999755859375,66.1716537475586,399237200
2009-01-20,,,,,,,84.2300033569336,85.05999755859375,80.05000305175781,80.56999969482422,62.67869567871094,419855200
2009-01-21,,,,,,,81.94000244140625,84.23999786376953,80.47000122070312,84.05000305175781,65.38590240478516,364360700
2009-01-22,,,,,,,82.41999816894531,84.04000091552734,81.16999816894531,82.75,64.37462615966797,427940300
2009-01-23,,,,,,,80.9000015258789,83.98999786376953,80.56999969482422,83.11000061035156,64.6546859741211,386800600
2009-01-26,,,,,,,83.58999633789062,85.36000061035156,82.80999755859375,83.68000030517578,65.09808349609375,317978800
2009-01-27,,,,,,,84.12999725341797,85.1500015258789,83.30000305175781,84.52999877929688,65.75934600830078,273789700
2009-01-28,,,,,,,86.4000015258789,87.94999694824219,86.06999969482422,87.38999938964844,67.9842529296875,330007000
2009-01-29,,,,,,,86.11000061035156,87.48999786376953,84.47000122070312,84.55000305175781,65.77490997314453,294392500
2009-01-30,,,,,,,84.9800033569336,85.4000015258789,82.20999908447266,82.83000183105469,64.43685150146484,383383600
2009-02-02,,,,,,,81.56999969482422,83.18000030517578,81.30999755859375,82.58000183105469,64.2423324584961,288233300
2009-02-03,,,,,,,83.0999984741211,84.36000061035156,82.22000122070312,83.73999786376953,65.14476776123047,278385800
2009-02-04,,,,,,,84.30000305175781,85.37000274658203,83.04000091552734,83.33000183105469,64.82579040527344,322989300
2009-02-05,,,,,,,82.69999694824219,85.29000091552734,77.7300033569336,84.56999969482422,65.79046630859375,417679400
2009-02-06,,,,,,,84.86000061035156,87.33999633789062,84.68000030517578,86.9800033569336,67.66529083251953,366101700
2009-02-09,,,,,,,86.95999908447266,87.73999786376953,86.31999969482422,87.0999984741211,67.75863647460938,240075200
2009-02-10,,,,,,,86.2699966430664,87.02999877929688,82.44999694824219,83.11000061035156,64.6546859741211,536212800
2009-02-11,,,,,,,83.44999694824219,84.05000305175781,82.4000015258789,83.5999984741211,65.03585052490234,324442500
2009-02-12,,,,,,,82.16999816894531,83.81999969482422,81.05000305175781,83.66000366210938,65.0825424194336,469302200
2009-02-13,,,,,,,83.55000305175781,84.23999786376953,82.73999786376953,82.76000213623047,64.38237762451172,293998400
2009-02-17,,,,,,,80.16000366210938,82.95999908447266,79.16999816894531,79.22000122070312,61.62845993041992,478910100
2009-02-18,,,,,,,79.79000091552734,79.94000244140625,78.27999877929688,79.02999877929688,61.48066711425781,362964800
2009-02-19,,,,,,,79.83999633789062,80.1500015258789,78.0199966430664,78.18000030517578,60.81942367553711,316867500
2009-02-20,,,,,,,76.7300033569336,78.33999633789062,75.7699966430664,77.41999816894531,60.22817611694336,477176600
2009-02-23,,,,,,,78.2699966430664,78.2699966430664,74.58999633789062,74.6500015258789,58.073307037353516,379641400
2009-02-24,,,,,,,75.29000091552734,77.94999694824219,74.69999694824219,77.4800033569336,60.27485275268555,426260900
2009-02-25,,,,,,,77.13999938964844,78.41999816894531,75.62999725341797,76.87000274658203,59.800296783447266,461985800
2009-02-26,,,,,,,77.81999969482422,79.66999816894531,75.52999877929688,75.62000274658203,58.82786560058594,363353900
2009-02-27,,,,,,,74.01000213623047,75.69000244140625,73.80999755859375,73.93000030517578,57.51315689086914,470510900
2009-03-02,,,,,,,72.5199966430664,73.91999816894531,70.37000274658203,70.5999984741211,54.92261505126953,426452600
2009-03-03,,,,,,,71.61000061035156,71.69999694824219,69.63999938964844,70.06999969482422,54.51031494140625,443761000
2009-03-04,,,,,,,71.2300033569336,72.87000274658203,70.06999969482422,71.7300033569336,55.80168914794922,462753100
2009-03-05,,,,,,,70.0999984741211,71.7300033569336,68.16999816894531,68.80000305175781,53.5223274230957,485549400
2009-03-06,,,,,,,69.4000015258789,70.44999694824219,67.0999984741211,68.91999816894531,53.61567687988281,490470000
2009-03-09,,,,,,,67.94999694824219,70.0,67.7300033569336,68.11000061035156,52.985572814941406,379905300
2009-03-10,,,,,,,69.51000213623047,72.37000274658203,69.37000274658203,72.16999816894531,56.14399719238281,406227900
